,median,2ul,ul,dl,2dl,wimp_mass
0,5.78434042447697e-42,1.3409153154061717e-40,3.0979839361280215e-41,1.4239845978519556e-42,3.534897025758622e-43,3
1,1.9465375258524596e-43,1.1635531339479471e-42,4.959985792703286e-43,6.870339743537565e-44,2.6104580393221164e-44,4
2,3.8080469107928296e-44,1.794387475267977e-43,9.034416121831452e-44,1.4801800928237555e-44,6.558169893593093e-45,5
3,1.4057899757478954e-44,5.963286151596808e-44,3.133500082927485e-44,5.775726563780512e-45,2.4985290677011772e-45,6
4,4.1570746424715315e-45,1.6730527515526342e-44,9.046838945941792e-45,1.7339829642549824e-45,8.080712330232694e-46,8
5,2.2250275211874192e-45,8.877384755967515e-45,4.647020189817993e-45,9.356414190893701e-46,3.9769141504177255e-46,10
6,1.6041640153748872e-45,6.270792658198822e-45,3.40659555647845e-45,6.825749003015185e-46,3.000188976367299e-46,12
